City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Jiexiu,0,CN,1584581790,11,37.02,111.91,50.63,10.0
Lakatoro,75,VU,1584581644,79,-16.1,167.42,84.2,6.93
Vastseliina,16,EE,1584581871,75,57.73,27.29,42.8,13.42
Hofn,100,IS,1584581871,74,64.25,-15.21,33.71,22.84
Vaini,75,TO,1584581872,69,-21.2,-175.2,82.4,12.75
Kattivākkam,40,IN,1584581872,94,13.22,80.32,80.01,3.36
Kankaanpää,57,FI,1584581872,93,61.8,22.42,34.0,6.93
Kaitangata,100,NZ,1584581872,69,-46.28,169.85,61.97,17.9
New Norfolk,75,AU,1584581872,45,-42.78,147.06,68.0,4.7
Saldanha,0,ZA,1584581872,87,-33.01,17.94,59.0,9.17
Dingle,67,PH,1584581872,62,11.0,122.67,85.55,10.29
Upernavik,0,GL,1584581872,57,72.79,-56.15,-4.09,5.12
Busselton,97,AU,1584581873,43,-33.65,115.33,66.99,2.98
Ostrovnoy,100,RU,1584581873,93,68.05,39.51,26.33,15.77
Saskylakh,100,RU,1584581873,91,71.92,114.08,5.63,12.88
Teknāf,0,BD,1584581873,27,20.86,92.31,86.27,5.75
Castro,100,BR,1584581873,99,-24.79,-50.01,65.39,1.88
Datong,0,CN,1584581874,15,40.09,113.29,43.79,8.93
Conakry,61,GN,1584581874,75,9.54,-13.68,75.83,5.99
Hithadhoo,25,MV,1584581874,70,-0.6,73.08,85.01,9.69
Wanaka,85,NZ,1584581874,89,-44.7,169.15,47.21,9.31
Altay,100,CN,1584581874,82,47.87,88.12,26.87,1.57
Yellowknife,5,CA,1584581874,54,62.46,-114.35,1.99,4.7
Severo-Kuril'sk,91,RU,1584581874,90,50.68,156.12,25.25,26.75
Bluff,99,NZ,1584581874,88,-46.6,168.33,60.01,18.01
Jamestown,90,US,1584581791,86,42.1,-79.24,43.0,8.05
Teahupoo,20,PF,1584581874,63,-17.83,-149.27,91.4,6.93
Luangwa,81,ZM,1584581874,85,-15.62,30.42,69.35,1.54
Ushuaia,40,AR,1584581735,52,-54.8,-68.3,46.4,9.17
San Patricio,32,MX,1584581876,79,19.22,-104.7,76.01,14.67
Rikitea,100,PF,1584581877,79,-23.12,-134.97,79.97,9.28
Puerto Ayora,20,EC,1584581877,78,-0.74,-90.35,79.0,5.82
Oranjemund,54,NA,1584581877,93,-28.55,16.43,58.91,4.63
Mount Gambier,84,AU,1584581877,28,-37.83,140.77,82.4,13.87
Blagoyevo,100,RU,1584581877,96,63.37,47.92,30.65,4.99
Atuona,97,PF,1584581878,77,-9.8,-139.03,82.49,15.01
Bredasdorp,0,ZA,1584581878,93,-34.53,20.04,57.0,2.24
Spodnja Idrija,0,SI,1584581878,71,46.03,14.03,57.2,1.12
Portland,20,US,1584581585,44,45.52,-122.68,59.0,3.36
Hong Kong,40,HK,1584581870,78,22.29,114.16,75.0,12.75
Faanui,100,PF,1584581878,65,-16.48,-151.75,83.93,4.54
Chokurdakh,0,RU,1584581878,93,70.63,147.92,-17.23,8.01
George Town,20,MY,1584581878,78,5.41,100.34,82.4,1.12
Inuvik,90,CA,1584581878,85,68.35,-133.72,21.2,4.7
Rameshki,100,RU,1584581878,79,57.34,36.05,41.81,13.82
Kiruna,98,SE,1584581879,92,67.86,20.23,21.2,5.82
Kapaa,90,US,1584581879,88,22.08,-159.32,72.0,10.29
Kruisfontein,0,ZA,1584581879,93,-34.0,24.73,59.09,2.35
Hobyo,86,SO,1584581879,78,5.35,48.53,81.05,11.27
Arraial do Cabo,40,BR,1584581879,100,-22.97,-42.03,75.2,2.24
Lázaro Cárdenas,0,MX,1584581879,80,17.96,-102.2,74.39,2.8
Mattru,100,SL,1584581879,86,7.62,-11.83,76.91,2.51
Ayabaca,98,PE,1584581879,97,-4.64,-79.71,57.65,0.34
Cape Town,0,ZA,1584581802,87,-33.93,18.42,66.0,11.41
Iqaluit,75,CA,1584581880,70,63.75,-68.51,-2.2,21.92
Laguna,90,US,1584581880,80,38.42,-121.42,55.4,6.93
Truth or Consequences,90,US,1584581880,93,33.13,-107.25,48.0,9.17
