City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Ambon City,40,ID,1584848748,79,-3.7,128.18,84.2,3.36
Khatanga,95,RU,1584848861,92,71.97,102.5,3.67,13.49
Hamilton,90,US,1584848806,74,39.18,-84.53,35.01,8.05
Charters Towers,2,AU,1584848861,46,-20.1,146.27,87.19,11.63
Mahébourg,75,MU,1584848861,88,-20.41,57.7,75.99,6.93
Union City,1,US,1584848861,87,37.6,-122.02,57.99,3.36
Samaná,0,DO,1584848861,94,19.21,-69.34,65.59,2.51
Port Alfred,2,ZA,1584848861,96,-33.59,26.89,63.0,5.44
Mataura,48,NZ,1584848861,67,-46.19,168.86,55.99,14.0
Nome,75,US,1584848861,87,64.5,-165.41,14.0,8.05
Rikitea,22,PF,1584848861,75,-23.12,-134.97,78.91,6.82
Hilo,90,US,1584848861,78,19.73,-155.09,73.99,9.55
Hermanus,14,ZA,1584848861,87,-34.42,19.23,61.0,1.01
Saint Paul Harbor,1,US,1584848861,52,57.79,-152.41,41.0,21.92
Newport,100,GB,1584848862,81,51.59,-3.0,39.99,8.05
Klaksvík,100,FO,1584848862,74,62.23,-6.59,37.4,17.22
Upernavik,100,GL,1584848862,99,72.79,-56.15,-6.05,7.09
Constitución,100,CL,1584848862,91,-35.33,-72.42,51.37,7.05
Chokurdakh,21,RU,1584848862,83,70.63,147.92,2.59,3.27
Cape Town,0,ZA,1584848862,93,-33.93,18.42,64.0,10.29
Coos Bay,75,US,1584848862,87,43.37,-124.22,46.4,10.29
Vila,75,PT,1584848862,93,42.03,-8.16,55.0,1.12
Half Moon Bay,1,US,1584848862,87,37.46,-122.43,57.99,3.36
Amboasary,75,MG,1584848862,94,-25.03,46.38,73.4,6.93
Najrān,100,SA,1584848862,68,17.49,44.13,69.8,6.2
Norman Wells,20,CA,1584848863,58,65.28,-126.83,28.4,2.24
Ushuaia,40,AR,1584848863,86,-54.8,-68.3,39.2,4.63
Karratha,0,AU,1584848863,67,-20.74,116.85,86.83,6.91
Mittagong,3,AU,1584848864,53,-34.45,150.45,84.99,14.99
Busselton,0,AU,1584848864,36,-33.65,115.33,77.0,14.9
Iralaya,0,HN,1584848864,77,15.0,-83.23,79.99,15.52
Kapaa,75,US,1584848864,83,22.08,-159.32,78.8,6.93
São Domingos,61,BR,1584848864,97,-13.4,-46.32,69.37,3.94
Coquimbo,75,CL,1584848865,72,-29.95,-71.34,62.6,2.24
Avarua,100,CK,1584848865,78,-21.21,-159.78,80.6,6.93
Buenos Aires,0,AR,1584848718,73,-34.61,-58.38,75.2,4.7
Nelson Bay,71,AU,1584848865,48,-32.72,152.15,86.0,10.29
Antofagasta,2,CL,1584848623,88,-23.65,-70.4,62.6,4.7
Barrow,90,US,1584848865,77,71.29,-156.79,3.2,13.87
Brownsville,75,US,1584848865,78,25.9,-97.5,73.4,6.93
Arraial do Cabo,100,BR,1584848865,70,-22.97,-42.03,76.57,12.41
Narsaq,100,GL,1584848865,58,60.92,-46.05,24.8,55.25
San Quintín,100,MX,1584848866,72,30.48,-115.95,58.93,11.23
Tiksi,31,RU,1584848866,85,71.69,128.87,-5.87,8.77
Hong Kong,20,HK,1584848738,74,22.29,114.16,79.0,5.82
Tuatapere,100,NZ,1584848866,67,-46.13,167.68,55.99,14.0
Nanortalik,100,GL,1584848866,66,60.14,-45.24,26.17,19.13
Ugoofaaru,79,MV,1584848866,66,5.67,73.0,83.59,6.89
Hobart,75,AU,1584848866,66,-42.88,147.33,61.0,16.11
Mazamari,100,PE,1584848866,98,-11.33,-74.53,61.09,1.72
Cidreira,0,BR,1584848866,72,-30.18,-50.21,73.51,16.35
Qaanaaq,100,GL,1584848866,71,77.48,-69.36,-9.11,0.81
Cayenne,36,GF,1584848866,88,4.93,-52.33,75.2,4.99
Punta Arenas,20,CL,1584848823,81,-53.15,-70.92,42.8,9.17
Kuytun,84,RU,1584848867,84,54.34,101.5,32.11,11.1
Mehamn,100,NO,1584848867,84,71.04,27.85,36.25,30.38
Sistranda,100,NO,1584848868,60,63.73,8.83,32.0,17.22
Shahr-e Bābak,57,IR,1584848868,76,30.12,55.12,51.73,9.04
Lagoa,0,PT,1584848868,65,39.05,-27.98,54.43,14.88
Correntina,100,BR,1584848868,94,-13.34,-44.64,70.99,2.68
Hithadhoo,0,MV,1584848868,66,-0.6,73.08,84.31,4.56
Kaitangata,99,NZ,1584848868,73,-46.28,169.85,54.79,25.43
Esperance,90,AU,1584848868,100,-33.87,121.9,64.4,11.41
Gillette,1,US,1584848868,79,44.29,-105.5,37.0,4.7
Krasnosel'kup,28,RU,1584848868,95,65.7,82.47,-9.29,8.7
Zhangye,0,CN,1584848868,18,38.93,100.45,55.15,0.49
Birkeland,0,NO,1584848868,85,58.33,8.23,24.8,6.93
Bathsheba,40,BB,1584848868,78,13.22,-59.52,78.8,17.22
Carnarvon,80,AU,1584848868,27,-24.87,113.63,98.6,12.75
New Norfolk,75,AU,1584848868,66,-42.78,147.06,61.0,16.11
Lebu,100,CL,1584848868,84,-37.62,-73.65,53.53,6.82
Butaritari,100,KI,1584848869,76,3.07,172.79,83.41,14.05
Bambanglipuro,0,ID,1584848870,68,-7.95,110.28,85.75,9.33
Bilibino,100,RU,1584848870,61,68.05,166.44,2.59,2.93
Tamandaré,100,BR,1584848870,76,-8.76,-35.1,82.87,12.15
Qaqortoq,100,GL,1584848870,58,60.72,-46.03,24.8,55.25
Raudeberg,100,NO,1584848870,82,61.99,5.14,41.0,29.97
Svetlaya,17,RU,1584848870,70,46.54,138.33,34.09,5.86
Severo-Kuril'sk,100,RU,1584848870,85,50.68,156.12,28.33,24.14
Jamestown,1,US,1584848789,67,42.1,-79.24,26.6,8.05
George Town,20,MY,1584848630,66,5.41,100.34,87.8,2.24
Tambovka,26,RU,1584848870,66,50.1,128.05,32.0,4.47
Iqaluit,40,CA,1584848682,69,63.75,-68.51,-9.0,11.41
Atuona,100,PF,1584848873,76,-9.8,-139.03,82.51,10.27
Lahat,82,ID,1584848873,71,-3.8,103.53,79.45,2.77
Ichhāwar,35,IN,1584848873,59,23.02,77.02,66.2,2.24
São Filipe,17,CV,1584848873,81,14.9,-24.5,69.19,16.2
Lakhdenpokh'ya,0,RU,1584848873,64,61.52,30.2,23.0,3.47
Kropotkin,96,RU,1584848873,83,45.44,40.58,40.57,4.09
Rocha,0,UY,1584848873,80,-34.48,-54.33,59.83,5.75
Ponta do Sol,20,PT,1584848873,62,32.67,-17.1,57.2,5.82
Yuli,27,NG,1584848873,14,9.7,10.27,79.45,1.52
Chui,0,UY,1584848873,77,-33.7,-53.46,65.77,6.24
Albany,1,US,1584848873,49,42.6,-73.97,30.99,6.49
Birin,100,NP,1584848873,69,26.89,88.07,52.99,1.77
Mandalgovi,0,MN,1584848873,25,45.76,106.27,44.71,14.52
Bluff,97,NZ,1584848873,67,-46.6,168.33,55.99,14.0
Yellowknife,90,CA,1584848874,86,62.46,-114.35,28.0,13.87
Hasaki,40,JP,1584848874,31,35.73,140.83,73.4,25.28
Irauçuba,100,BR,1584848874,95,-3.75,-39.78,73.69,2.35
Marawi,100,PH,1584848876,81,8.0,124.29,82.0,5.99
Paysandu,0,UY,1584848876,48,-32.32,-58.08,64.15,5.88
Bandar-e Anzali,90,IR,1584848876,100,37.47,49.46,48.2,6.93
Thompson,75,CA,1584848877,48,55.74,-97.86,19.4,9.17
Makkah al Mukarramah,0,SA,1584848702,51,21.43,39.83,62.17,5.23
Mar del Plata,33,AR,1584848763,87,-38.0,-57.56,69.01,4.7
Flin Flon,100,CA,1584848877,95,54.77,-101.86,21.49,8.19
Tiznit Province,75,MA,1584848877,92,29.58,-9.5,47.41,14.41
Tasiilaq,100,GL,1584848878,52,65.61,-37.64,11.59,6.73
Maryborough,74,AU,1584848585,46,-25.53,152.7,87.55,3.98
Naze,75,JP,1584848879,94,28.37,129.48,73.4,28.86
Portland,1,US,1584848600,62,45.52,-122.68,53.01,2.82
Hutang,75,CN,1584848879,82,31.53,119.48,60.8,8.95
Saskylakh,100,RU,1584848879,74,71.92,114.08,-1.01,14.81
Port Blair,0,IN,1584848879,64,11.67,92.75,81.79,6.96
Ternate,100,ID,1584848879,74,0.8,127.4,85.03,1.68
Teya,100,RU,1584848879,91,60.38,92.63,32.11,6.31
Clyde River,1,CA,1584848879,83,70.47,-68.59,-13.0,3.36
Dumas,90,US,1584848879,75,35.87,-101.97,46.4,16.11
Port Lincoln,36,AU,1584848879,58,-34.73,135.87,66.31,13.51
Misratah,0,LY,1584848879,77,32.38,15.09,60.55,2.3
Namatanai,100,PG,1584848879,67,-3.67,152.43,84.85,2.93
Bredasdorp,4,ZA,1584848879,87,-34.53,20.04,57.2,2.24
Flinders,0,AU,1584848880,53,-34.58,150.86,84.99,14.99
Bengkulu,86,ID,1584848880,61,-3.8,102.27,87.37,1.36
Codrington,32,AU,1584848880,74,-38.27,141.97,58.57,20.29
Constantine,90,DZ,1584848880,93,36.37,6.61,48.2,12.75
Napoleon,40,US,1584848880,68,41.39,-84.13,30.2,3.36
Port Elizabeth,75,ZA,1584848837,88,-33.92,25.57,62.6,4.7
Eldorado,0,BR,1584848880,61,-23.79,-54.28,62.53,0.94
Shirokiy,24,RU,1584848882,71,49.76,129.52,25.81,7.83
Vostok,99,RU,1584848882,89,46.49,135.88,27.97,8.23
Winslow,1,US,1584848837,39,35.02,-110.7,50.0,10.29
Srednekolymsk,43,RU,1584848882,75,67.45,153.68,10.33,8.08
Tuktoyaktuk,75,CA,1584848882,92,69.45,-133.04,15.8,8.05
Los Zacatones,75,MX,1584848882,32,22.95,-102.05,68.0,5.82
Grants,1,US,1584848882,35,35.15,-107.85,42.8,9.17
Bambous Virieux,75,MU,1584848883,88,-20.34,57.76,75.99,6.93
Pangnirtung,100,CA,1584848883,98,66.15,-65.71,-12.89,1.61
